City,Latitude,Longitude
'Aiea,-157.9231834,21.3864663
'Ewa,-158.0308333,21.3441667
'Oâ€˜okala,-155.2841946,20.0141608
'Ulupalakua,-156.398234,20.648688
Aberdeen,-123.8157218,46.9753708
Acampo,-121.2785588,38.1746398
Acme,-122.2051584,48.7170574
Acoma,-114.1724807,37.5483023
Acton,-118.1967418,34.469994
Adair Village,-123.2178759,44.6706763
Adak,-176.6580556,51.88
Adams,-118.5624734,45.767354
Addy,-117.8374738,48.3560098
Adel,-119.8985576,42.177388
Adelaide,-122.3604012,47.3309328
Adelanto,-117.409215,34.5827699
Adin,-120.945245,41.19378
Adna,-123.0612431,46.6289921
Adrian,-117.0718261,43.7407155
Aeneas,-118.9786447,48.5473813
Afton,-116.3797442,35.0363724
Agate Beach,-124.0617836,44.6773386
Agness,-124.0689776,42.5564976
Agoura,-118.7378669,34.1430611
Agoura Hills,-118.7745348,34.1363945
Agua Dulce,-118.3256348,34.4963817
Aguanga,-116.8650235,33.4428094
Ahtanum,-120.6220123,46.5595702
Ahwahnee,-119.7262667,37.3654982
Airway Heights,-117.5932728,47.644611
Akhiok,-154.1702778,56.9455556
Akiachak,-161.4313889,60.9094444
Akiak,-161.2138889,60.9122222
Akutan,-165.7730556,54.1355556
Alakanuk,-164.6152778,62.6888889
Alameda,-122.2416355,37.7652065
Alamo,-115.1644614,37.3649613
Alamo Oaks,-121.993016,37.8393701
Alatna,-152.7072222,66.5572222
Albany,-122.305978754,37.885802227
Alberhill,-117.3997644,33.7272418
Albion,-117.2504529,46.7909974
Alcan,-141.1880556,62.7230556
Alder,-122.2901126,46.8003829
Alderdale,-119.9208683,45.8348539
Alderpoint,-123.6116952,40.1762567
Alderwood Manor,-122.2820746,47.8220414
Aleknagik,-158.6177778,59.2730556
Alfalfa,-121.0169654,44.0773433
Alger,-122.3412734,48.6198313
Algona,-122.2520647,47.2789896
Alhambra,-118.1270146,34.095287
Aliso Viejo,-117.727116,33.565038
Allakaket,-152.6455556,66.5655556
Allegany,-124.0323266,43.4259469
Alleghany,-120.843279,39.4696185
Allendale,-121.943022,38.4446306
Allensworth,-119.3890044,35.8635651
Allentown,-122.2762343,47.4942659
Allyn,-122.8276415,47.3856501
Almanor,-121.1741296,40.2173857
Almira,-118.9408459,47.7109823
Almonte,-122.5249749,37.8899262
Almota,-117.4693525,46.7029373
Aloha,-122.8670454,45.4942838
Alpaugh,-119.4873422,35.8877316
Alpine,-116.7664109,32.8350521
Alsea,-123.5964942,44.3815098
Alstown,-119.9950603,47.5609642
Alta,-120.8113268,39.2065652
Alta Loma,-117.5981086,34.1222317
Alta Sierra,-121.0538368,39.1415618
Altadena,-118.1311819,34.1897275
Altamont,-121.737224,42.2068123
Altaville,-120.5618692,38.0838106
Altoona,-123.6562504,46.2667745
Alturas,-120.5424555,41.4871146
Alum Rock,-121.8271756,37.3660513
Amador City,-120.824103,38.4193553
Amanda Park,-123.8860114,47.4631419
Amargosa Valley,-116.4003253,36.6438422
Amber,-117.7115986,47.3518317
Ambler,-157.8513889,67.0861111
Amboy,-115.7444411,34.5577721
Amchitka,178.8775,51.5672222
American Canyon,-122.2608044,38.1749179
Amity,-123.2073257,45.1156724
Anacortes,-122.6126718,48.5126045
Anaheim,-117.9145036,33.8352932
Anahola,-159.3138837,22.1422622
Anaktuvuk Pass,-151.7358333,68.1433333
Anatone,-117.1323791,46.1348764
Anchor Bay,-123.5777894,38.8026883
Anchor Point,-151.8313889,59.7766667
Anchorage,-149.9002778,61.2180556
Anderson,-122.2977815,40.448208
Angels,-120.5501372,38.0706893
Angiola,-119.4759537,35.9891192
Angoon,-134.5838889,57.5033333
Angwin,-122.4499796,38.5757402
Aniak,-159.5222222,61.5783333
Annapolis,-122.6206931,47.5475957
Annette,-131.5416667,55.0616667
Annex,-116.9843331,44.2401641
Antelope,-121.3299513,38.7082357
Antioch,-121.805789,38.0049214
Antone,-119.8099881,44.4715299
Anvik,-160.2066667,62.6561111
Anza,-116.6736299,33.555028
Apple Valley,-117.1858759,34.5008311
Applegate,-120.9924431,39.0007303
Aptos,-121.8994016,36.9771729
Arbuckle,-122.0577477,39.0173963
Arcadia,-118.0353449,34.1397292
Arcata,-124.0828396,40.8665166
Arch Cape,-123.9620824,45.8289958
Arctic Village,-145.5377778,68.1269444
Arden,-115.2308304,36.0180284
Arden Town,-121.3830078,38.5740724
Ardenvoir,-120.3689741,47.7373499
Ariel,-122.5709345,45.9567789
Arletta,-122.6676311,47.2900966
Arlington,-122.1251418,48.1987118
Armona,-119.7084642,36.3157833
Arnold,-120.3510307,38.2554729
Arock,-117.5251539,42.9140441
Aromas,-121.6430011,36.8885646
Arrowbear Lake,-117.0833709,34.2108413
Arrowhead Highlands,-117.2628206,34.2300069
Arroyo Grande,-120.5907252,35.1185869
Artesia,-118.0831212,33.8658484
Arthur,-115.1908833,40.7965912
Artois,-122.1938726,39.6196036
Arvin,-118.828431,35.209129
Ashford,-122.0309409,46.7584413
Ashland,-122.1138531,37.6946528
Ashwood,-120.7544782,44.7337386
Asotin,-117.0482116,46.3393265
Aspen Springs,-118.7131817,37.5546544
Astoria,-123.8312534,46.1878841
Atascadero,-120.6707255,35.4894169
Athena,-118.4905252,45.8117992
Atherton,-122.197743,37.4613272
Atka,-174.2005556,52.1961111
Atmautluak,-162.2730556,60.8669444
Atolia,-117.6092257,35.3146869
Atqasuk,-157.3994444,70.4691667
Attu,173.2375,52.9375
Atwater,-120.609084,37.3477174
Atwood,-117.8308905,33.8655708
Auberry,-119.4854113,37.0807823
Auburn,-121.0768901,38.8965654
Auke Bay,-134.6597222,58.3833333
Aumsville,-122.8709243,44.8409548
Aurora,-122.7559267,45.2309536
Aurora Lodge,-146.9386111,64.4705556
Austin,-117.0695342,39.4932589
Avalon,-118.3278506,33.3428065
Avenal,-120.1290272,36.0041223
Avery,-120.3699194,38.204363
Avilla Beach,-120.719194,35.1971318
Ayer,-118.3483072,46.5962541
Azusa,-117.9075627,34.1336186
Azwell,-119.8764526,47.937085
Babbitt,-118.6376341,38.5393661
Badger,-119.0131624,36.6313367
Bagdad,-115.8755563,34.5827704
Bainbridge Island,-122.5212448,47.6262081
Baker,-114.1227695,39.0132801
Baker City,-117.8343848,44.7748748
Bakersfield,-119.0187125,35.3732921
Balance Rock,-118.6520326,35.8060623
Baldwin Park,-117.9608978,34.0852868
Ballard,-120.1132029,34.6358193
Ballico,-120.7060337,37.4543809
Bandon,-124.408448,43.1189978
Bangor,-122.7459904,47.7209265
Banks,-123.1142758,45.6187245
Banning,-116.8764103,33.9255713
Baranof,-134.8330556,57.0894444
Barberton,-122.5989858,45.6931723
Baring,-121.485382,47.7731614
Barlow,-122.7206484,45.2517872
Barrow,-156.7886111,71.2905556
Barstow,-118.1427738,48.7771256
Bartlett,-118.0309189,36.4766016
Barview,-124.3131718,43.3542779
Basin City,-119.1522344,46.5940274
Bass Lake,-119.5662539,37.3246665
Bassett,-117.9967323,34.0497323
Bates,-118.5085558,44.5929339
Battle Ground,-122.5334307,45.7809491
Battle Mountain,-116.9342671,40.6421334
Bay Center,-123.9548872,46.631487
Bay City,-123.889296,45.5226042
Bayne,-121.909555,47.295102
Bayview,-122.6056843,47.2795418
Bear Creek,-120.4174093,37.2971635
Bear Valley,-120.1193489,37.5688237
Bear Valley Springs,-118.6284245,35.1591307
Beatty,-116.7592265,36.9085566
Beaumont,-116.977248,33.9294606
Beaux Arts Village,-122.198321,47.585326
Beaver,-147.3963889,66.3594444
Beaver Creek,-122.5136514,45.2755985
Beaver Valley,-122.7301618,47.9259242
Beaverton,-122.8037102,45.487062
Beckwourth,-120.3788225,39.8201799
Belden,-121.2491316,40.0059971
Belfair,-122.8273657,47.4506495
Belkofski,-162.0305556,55.0888889
Bell,-118.1870156,33.9775142
Bell Gardens,-118.1514588,33.9652918
Bell Island Hot Springs,-131.5652778,55.9316667
Bella Vista,-122.2325031,40.6407071
Bellevue,-122.2006786,47.610377
Bellflower,-118.1170117,33.8816819
Bellfountain,-123.355377,44.3637332
Bellingham,-122.4882249,48.7595529
Belltown,-117.3833789,34.011681
Belmont,-122.2758008,37.5202145
Beluga,-151.0827778,61.1411111
Belvedere,-118.9850234,48.0498761
Ben Lomond,-122.0863528,37.0891143
Benbow,-123.7844721,40.068479
Bend,-122.2086092,40.2551551
Benge,-118.1024557,46.9093198
Benicia,-122.1585777,38.049365
Benton,-118.4765094,37.819099
Benton City,-119.487802,46.2631897
Beowawe,-116.4773071,40.5926922
Berenda,-120.1535014,37.0402237
Berkeley,-122.272747,37.8715926
Bermuda Dunes,-116.2891752,33.7427991
Berry Creek,-121.4032995,39.6451637
Berrydale,-122.1278954,47.3398229
Bethel,-161.7558333,60.7922222
Bethel Island,-121.6405085,38.0149216
Betteravia,-120.5148893,34.9177564
Bettles,-151.5161111,66.9188889
Beulah,-118.1526936,43.9065472
Beverly,-119.9331041,46.8367987
Beverly Hills,-118.4003563,34.0736204
Bickleton,-120.3006062,45.9979065
Bieber,-121.1441396,41.1212775
Big Bar,-123.2558671,40.740975
Big Bear City,-116.84503,34.2611183
Big Bear Lake,-116.9114215,34.2438964
Big Bend,-121.911107,41.0207132
Big Creek,-119.2459561,37.2049456
Big Delta,-145.8422222,64.1525
Big Lagoon,-124.1336821,41.1604014
Big Lake,-122.2412653,48.4028827
Big Oak Flat,-120.2582456,37.8235391
Big Pine,-118.289546,37.1649307
Big River,-114.3613425,34.1400159
Big Sur,-121.8074545,36.270241
Biggs,-120.8328408,45.669846
Bill Moores,-163.7788889,62.9497222
Bingen,-121.4645173,45.7148416
Biola,-120.0162684,36.8021676
Biorka,-166.2080556,53.8269444
Birch Bay,-122.7446219,48.9178883
Birds Landing,-121.8707927,38.132695
Bishop,-118.3951101,37.3635404
Black Diamond,-122.0031691,47.3087121
Black Point,-122.5055338,38.1101973
Black Rock,-123.4962175,44.8709501
Black Springs,-119.8633323,39.6103755431
Blaine,-122.7471191,48.9937231
Blairsden,-120.6166077,39.7810095
Blanchard,-122.4165538,48.5934411
Blockhouse,-120.9375678,45.8395676
Blocksburg,-123.6364206,40.2759769
Blodgett,-123.5195493,44.5970639
Bloomfield,-122.8511046,38.313805
Bloomington,-117.3958797,34.07029
Blue Canyon,-120.711046,39.2571225
Blue Diamond,-115.4038924,36.0463595
Blue Jay,-117.2097638,34.2461175
Blue Lake,-123.9839488,40.8829072
Blue River,-122.3411742,44.1545703
Bluewater,-114.2713396,34.1744603
Bly,-121.0416541,42.3976509
Blyn,-123.0060075,48.022313
Blythe,-114.5963456,33.6103022
Boardman,-119.7005834,45.839855
Bodega,-122.9738878,38.345194
Bodega Bay,-123.0480571,38.33325
Bodfish,-118.4920303,35.588009
Boise,-122.0156674,47.1803795
Boistfort,-123.1337445,46.5351036
Bolinas,-122.6863733,37.9093702
Bombay Beach,-115.7297152,33.3508667
Bonanza,-121.4061076,42.1987607
Bonita,-117.0300269,32.6578318
Bonney Lake,-122.1865056,47.1770457
Bonny Doon,-122.1505224,37.0416156
Bonsall,-117.2255903,33.2889226
Boonville,-123.3661194,39.0090663
Bootjack,-119.8865571,37.4649385
Boring,-122.3748112,45.4298429
Boron,-117.6497822,34.9994202
Borrego Springs,-116.375012,33.2558717
Boston Harbor,-122.9009743,47.1384293
Bostonia,-116.9364153,32.8075509
Bothell,-122.2054035,47.7623204
Boulder City,-114.8324851,35.9785912
Boulder Creek,-122.1221869,37.1260578
Boulevard,-116.273629,32.6636712
Bow,-122.3982194,48.5617742
Bowles,-119.7509723,36.6041167
Boyds,-118.1327718,48.7137914
Boyes Hot Springs,-122.4819253,38.3138029
Bradbury,-117.9708982,34.1469511
Bradley,-120.8007321,35.8632993
Brady,-123.5118286,46.995929
Brawley,-115.530267,32.9786566
Bray,-121.9708384,41.6440414
Brea,-117.9000604,33.9166805
Breidablick,-122.6493178,47.8020382
Bremerton,-122.6326391,47.5673176
Brentwood,-121.6957863,37.931868
Brevig Mission,-166.4891667,65.3347222
Brewster,-119.7806166,48.0959784
Briceland,-123.900031,40.1079215
Bridge,-124.0070412,43.0239994
Bridgeport,-119.2312656,38.2557527
Brier,-122.2742948,47.7845419
Brightwood,-122.0167482,45.3762302
Brinnon,-122.8982142,47.679259
Brisbane,-122.3400151,37.6897178
Broad Pass (historical),-149.2666667,63.2333333
Broadbent,-124.1464913,43.0089985
Broadmoor,-122.4827509,37.6866
Brogan,-117.517134,44.2462699
Brookdale,-122.1060755,37.1063361
Brookings,-124.2839819,42.0526114
Brooklyn,-123.5098812,46.776211
Brooks,-122.9584291,45.048175
Brothers,-120.6033306,43.8137417
Brownlee,-116.9343328,44.8115478
Brownsville,-122.9848108,44.3934571
Brush Prairie,-122.5464856,45.7328944
Bryant,-122.1579229,48.23899
Bryn Mawr,-122.2329,47.5034329
Bryn Mawr-Skyway,-122.2414215,47.4947298
Buck Meadows,-120.0643518,37.8127044
Buckhorn,-120.52854,38.452158
Buckland,-161.1230556,65.9797222
Buckley,-122.0267787,47.1631573
Bucoda,-122.8698523,46.7989899
Buellton,-120.1926505,34.613597
Buena,-120.3133898,46.4287397
Buena Park,-117.9981181,33.8675143
Buena Vista,-120.9132726,38.2943599
Bunker Hill,-124.2048339,43.3559451
Bunkerville,-114.1280249,36.7730306
Burbank,-119.0130618,46.1998568
Burien,-122.3467918,47.4703768
Burley,-122.6309669,47.417874
Burlingame,-122.3660825,37.5841026
Burlington,-122.3254375,48.4756621
